"stat_name","beta","sd"
"goals",2.38367105271728,2.34999542811741
"behinds",0,1.6010781420249
"shots_at_goal",0,4.62874937945981
"score_involvements",0.231499252842919,14.1312185791931
"goal_assists",0,1.35053738816941
"kicks",0,30.0617190219796
"handballs",0,24.1390152269314
"disposals",0,50.6040341518394
"marks",0,13.3002440398168
"contested_possessions",0,19.13178145611
"uncontested_possessions",0,32.9809230391167
"contested_marks",0,2.00533505693118
"ground_ball_gets",1.32383786553506,13.0652473785947
"clearances",0,6.64881716671212
"inside50s",2.52588748292978,7.77558532002884
"marks_inside50",1.31086395082191,2.41033699009405
"rebound50s",0.0911021155607339,6.3759103223917
"metres_gained",0.172942668199603,869.652764322673
"tackles",0,8.93764333946418
"spoils",0,5.59669752113314
"intercepts",0,10.1417118062636
"one_percenters",0,7.62078471731791
"pressure_acts",0,40.2333419335278
"hitouts",0,14.194399029124
"hitouts_to_advantage",-0.204726776528604,4.45105682244295
"frees_for",0,2.85299468545578
"frees_against",0,2.93887110127684
"clangers",0,8.04997270562562
"turnovers",0,9.28349919067655
"def_half_pressure_acts",-1.85219020377321,20.2626298246655
"centre_clearances",0,2.53946997088737
"stoppage_clearances",0.765786226729127,4.49435911885522
"effective_kicks",0,20.5432426671588
"effective_disposals",0,38.3612105098501
"intercept_marks",0,2.82003871754132
"f50_ground_ball_gets",0.222830273477827,2.89778887630285
"score_launches",1.4396974418805,3.56889360008641
"marks_on_lead",0,1.74916378415291
"tackles_inside50",0,1.97539246404431
"contest_def_one_on_ones",0,3.80135866923028
"contest_off_one_on_ones",0,4.11864077822249
"contest_off_wins",0,1.20516909192798
"contest_def_losses",0,0.956278418823532
"disposal_efficiency",0,0.557576237360842
"goal_accuracy",0,0.379913252607898
"contested_poss_rate",0.632871071631351,0.43262340594994
"hitout_win_pct",0,0.829849534784121
"kick_efficiency",0.634694681060706,0.43644342279728
