"stat_name","beta","sd"
"goals",3.00833198212174,2.36375542125483
"behinds",0,1.5864193528554
"shots_at_goal",4.2850125483557,4.63306174263657
"score_involvements",5.97079996265899,14.1005556745608
"goal_assists",0,1.33146192031571
"kicks",0,30.0227604476603
"handballs",0.118918698966571,23.9479670338417
"disposals",0,50.4751667047707
"marks",0,13.277924475309
"contested_possessions",0,19.0865562469557
"uncontested_possessions",2.59564024101273,32.7810563831864
"contested_marks",0,1.91795859270346
"ground_ball_gets",1.41517876637346,12.9465275794337
"clearances",0,6.66204908522178
"inside50s",1.43212036678706,7.76292962221316
"marks_inside50",0,2.38407262982747
"rebound50s",0,6.38734388497124
"metres_gained",0,867.165260902129
"tackles",1.78710856413205,8.93418730336771
"spoils",0.2217716512914,5.50251682146979
"intercepts",6.54529449120876,10.1453979798339
"one_percenters",1.7579041323498,7.48965990701395
"pressure_acts",0,40.1406481107956
"hitouts",0,14.204472954106
"hitouts_to_advantage",0,4.43748294843213
"frees_for",0,2.85752127133771
"frees_against",0,2.9276086139729
"clangers",0,8.02602345487318
"turnovers",0,9.24934219487365
"bounces",-1.94654511031597,2.00053189826264
"def_half_pressure_acts",-5.32823908625384,20.2085065642145
"centre_clearances",-1.51650562200477,2.54136890163909
"stoppage_clearances",0.859115468867434,4.4981465214483
"effective_kicks",0.413147257516101,20.5547398383722
"effective_disposals",0.471058289051883,38.2602182839208
"intercept_marks",1.06133185130773,2.77761660490157
"f50_ground_ball_gets",0.328921192057964,2.87523429750728
"score_launches",2.01745905472305,3.56394390131884
"marks_on_lead",0,1.76012275357917
"tackles_inside50",0.124402130376039,1.95525066272558
"contest_def_one_on_ones",0,3.76371566028128
"contest_off_one_on_ones",-0.320378292732309,4.09938561703838
"contest_off_wins",0,1.1875925139897
"contest_def_losses",0,0.956496221772802
"disposal_efficiency",0,0.554069641082653
"goal_accuracy",0,0.372331668419111
"contested_poss_rate",-0.136211012596297,0.428752067764175
"hitout_win_pct",0,0.786558978807969
"kick_efficiency",0.289748896643199,0.431049393339651
